"","Estimated population-based prevalence of depression"
"Country"," 2015"
"Afghanistan","3.3"
"Albania","4.8"
"Algeria","4.5"
"Angola","3.6"
"Antigua and Barbuda","5.1"
"Argentina","4.7"
"Armenia","5.0"
"Australia","5.9"
"Austria","5.1"
"Azerbaijan","4.6"
"Bahamas","5.2"
"Bahrain","4.8"
"Bangladesh","4.1"
"Barbados","5.4"
"Belarus","5.6"
"Belgium","4.8"
"Belize","4.4"
"Benin","3.9"
"Bhutan","4.2"
"Bolivia (Plurinational State of)","4.4"
"Bosnia and Herzegovina","5.1"
"Botswana","4.7"
"Brazil","5.8"
"Brunei Darussalam","4.0"
"Bulgaria","5.2"
"Burkina Faso","3.6"
"Burundi","4.2"
"Cabo Verde","4.9"
"Cambodia","3.4"
"Cameroon","3.9"
"Canada","4.7"
"Central African Republic","4.2"
"Chad","3.5"
"Chile","5.0"
"China","4.2"
"Colombia","4.7"
"Comoros","4.4"
"Congo","3.9"
"Costa Rica","4.7"
"Côte d'Ivoire","3.8"
"Croatia","5.1"
"Cuba","5.5"
"Cyprus","5.1"
"Czechia","5.2"
"Democratic People's Republic of Korea","3.7"
"Democratic Republic of the Congo","3.8"
"Denmark","5.0"
"Djibouti","5.1"
"Dominican Republic","4.7"
"Ecuador","4.6"
"Egypt","3.5"
"El Salvador","4.4"
"Equatorial Guinea","4.2"
"Eritrea","4.3"
"Estonia","5.9"
"Eswatini","4.2"
"Ethiopia","4.7"
"Fiji","3.5"
"Finland","5.6"
"France","4.8"
"Gabon","4.3"
"Gambia","3.9"
"Georgia","5.0"
"Germany","5.2"
"Ghana","4.2"
"Greece","5.7"
"Grenada","4.7"
"Guatemala","3.7"
"Guinea","3.9"
"Guinea-Bissau","4.0"
"Guyana","4.5"
"Haiti","4.3"
"Honduras","4.0"
"Hungary","5.1"
"Iceland","4.1"
"India","4.5"
"Indonesia","3.7"
"Iran (Islamic Republic of)","4.9"
"Iraq","3.7"
"Ireland","4.8"
"Israel","4.6"
"Italy","5.1"
"Jamaica","4.8"
"Japan","4.2"
"Jordan","4.0"
"Kazakhstan","4.4"
"Kenya","4.4"
"Kiribati","3.1"
"Kuwait","5.0"
"Kyrgyzstan","4.1"
"Lao People's Democratic Republic","3.2"
"Latvia","4.9"
"Lebanon","4.7"
"Lesotho","4.8"
"Liberia","3.5"
"Libya","4.5"
"Lithuania","5.6"
"Luxembourg","5.0"
"Madagascar","4.4"
"Malawi","4.1"
"Malaysia","3.8"
"Maldives","3.7"
"Mali","3.6"
"Malta","5.1"
"Mauritania","4.1"
"Mauritius","4.4"
"Mexico","4.2"
"Micronesia (Federated States of)","3.1"
"Mongolia","4.2"
"Montenegro","4.8"
"Morocco","4.5"
"Mozambique","4.1"
"Myanmar","3.7"
"Namibia","4.4"
"Nepal","3.2"
"Netherlands","4.7"
"New Zealand","5.4"
"Nicaragua","4.2"
"Niger","3.4"
"Nigeria","3.9"
"Norway","4.7"
"Oman","4.7"
"Pakistan","4.2"
"Panama","4.4"
"Papua New Guinea","3.0"
"Paraguay","5.2"
"Peru","4.8"
"Philippines","3.3"
"Poland","5.1"
"Portugal","5.7"
"Qatar","5.1"
"Republic of Korea","4.1"
"Republic of Moldova","5.4"
"Republic of North Macedonia","5.0"
"Romania","5.0"
"Russian Federation","5.5"
"Rwanda","3.8"
"Saint Lucia","4.9"
"Saint Vincent and the Grenadines","4.9"
"Samoa","3.2"
"Sao Tome and Principe","3.9"
"Saudi Arabia","4.5"
"Senegal","3.9"
"Serbia","5.0"
"Seychelles","4.0"
"Sierra Leone","3.9"
"Singapore","4.6"
"Slovakia","5.1"
"Slovenia","5.1"
"Solomon Islands","2.9"
"Somalia","4.0"
"South Africa","4.6"
"South Sudan","4.4"
"Spain","5.2"
"Sri Lanka","4.1"
"Sudan","3.6"
"Suriname","4.8"
"Sweden","4.9"
"Switzerland","5.0"
"Syrian Arab Republic","3.9"
"Tajikistan","3.8"
"Thailand","4.4"
"Timor-Leste","3.0"
"Togo","3.9"
"Tonga","3.2"
"Trinidad and Tobago","5.2"
"Tunisia","4.9"
"Turkey","4.4"
"Turkmenistan","4.2"
"Uganda","4.6"
"Ukraine","6.3"
"United Arab Emirates","5.1"
"United Kingdom of Great Britain and Northern Ireland","4.5"
"United Republic of Tanzania","4.1"
"United States of America","5.9"
"Uruguay","5.0"
"Uzbekistan","4.2"
"Vanuatu","3.1"
"Venezuela (Bolivarian Republic of)","4.2"
"Viet Nam","4.0"
"Yemen","3.6"
"Zambia","4.0"
"Zimbabwe","4.0"
